nome_cidade,lat,long
sao paulo,-23.5506507,-46.6333824
campinas,-22.90556,-47.06083
guarulhos,-23.4430602,-46.524459
sao bernardo do campo,-23.7080345,-46.5506747
santo andre,-23.6573395,-46.5322504
osasco,-23.5324859,-46.7916801
santos,-23.960833,-46.333889
sao jose dos campos,-23.1860383,-45.8866816
sorocaba,-23.5007185,-47.4574439
jundiai,-23.1887668,-46.884506
ribeirao preto,-21.178333,-47.8066671
barueri,-23.5112184,-46.8764612
mogi das cruzes,-23.5234284,-46.1926671
piracicaba,-22.72528,-47.64917
carapicuiba,-23.5234673,-46.8406808
sao jose do rio preto,-20.8125851,-49.3804212
praia grande,-24.005833,-46.402778
maua,-23.6669527,-46.4616922
diadema,-23.681347,-46.62052
taboao da serra,-23.6121912,-46.7790539
indaiatuba,-23.09028,-47.21806
taubate,-23.031448,-45.5612792
sao caetano do sul,-23.6195923,-46.5688323
bauru,-22.3218102,-49.0705863
sao carlos,-22.0180395,-47.891154
cotia,-23.603889,-46.918889
guaruja,-23.9927768,-46.2558332
suzano,-23.5427842,-46.3108391
americana,-22.7392463,-47.3306032
limeira,-22.5615068,-47.401766
franca,-20.5381768,-47.4009795
santana de parnaiba,-23.4446715,-46.9167722
jacarei,-23.30528,-45.96583
sumare,-22.8217964,-47.267105
atibaia,-23.1177393,-46.5547861
valinhos,-22.97056,-46.99583
marilia,-22.217108,-49.95006
itapevi,-23.54888,-46.933889
sao vicente,-23.9603686,-46.3847024
presidente prudente,-22.1225167,-51.3882528
rio claro,-22.4100108,-47.5603933
itaquaquecetuba,-23.4754492,-46.3514033
araraquara,-21.7886713,-48.1773096
embu das artes,-23.6495294,-46.8528497
aracatuba,-21.207992,-50.4390225
paulinia,-22.7630391,-47.1532213
braganca paulista,-22.9520235,-46.5418586
hortolandia,-22.85833,-47.22
itu,-23.2638828,-47.298892
santa barbara d'oeste,-22.7542539,-47.4137884
ferraz de vasconcelos,-23.541056,-46.37097
ribeirao pires,-23.7129388,-46.4150871
cajamar,-23.3561111,-46.8769444
franco da rocha,-23.3328038,-46.724446
vinhedo,-23.0298535,-46.9749847
araras,-22.3569477,-47.3838889
caraguatatuba,-23.62028,-45.41306
botucatu,-22.8879628,-48.4410712
francisco morato,-23.2817308,-46.7448996
salto,-23.1989983,-47.2913682
itapecerica da serra,-23.7176303,-46.8492435
itanhaem,-24.1848847,-46.7921572
itatiba,-22.9965861,-46.8412042
pindamonhangaba,-22.9340165,-45.462938
votorantim,-23.5386249,-47.440842
guaratingueta,-22.8057839,-45.1908926
caieiras,-23.3644621,-46.7484765
mogi-guacu,-22.372222,-46.9425
poa,-30.0324999,-51.2303767
assis,-22.6620892,-50.420623
jandira,-23.5282627,-46.9020647
ubatuba,-23.433162,-45.083415
ourinhos,-22.9777918,-49.868204
varzea paulista,-23.2113889,-46.8283333
lorena,-22.7367652,-45.1070876
sao joao da boa vista,-21.9778137,-46.7881722
birigui,-21.2908491,-50.34144
sao roque,-23.5304843,-47.1355473
itapetininga,-23.588607,-48.048326
jau,-22.293585,-48.559193
cacapava,-23.099204,-45.707645
tupa,-21.9349129,-50.5141255
mogi mirim,-22.433009,-46.9581629
tatui,-23.3518451,-47.848026
cubatao,-23.8857982,-46.4241869
barretos,-20.5531437,-48.5697509
mairipora,-23.3186111,-46.5866667
catanduva,-21.1331035,-48.9712817
jaguariuna,-22.70374,-46.985062
aruja,-23.396266,-46.3175449
sao sebastiao,-23.8027866,-45.4070527
amparo,-22.70111,-46.76444
sertaozinho,-21.1375782,-47.9913741
pirassununga,-21.9980468,-47.4280861
votuporanga,-20.4252908,-49.972028
avare,-23.1045215,-48.9259103
embu-guacu,-23.8317997,-46.8156204
cruzeiro,-22.5783685,-44.9642044
itapira,-22.436111,-46.821667
lins,-21.6741873,-49.7518932
peruibe,-24.3218105,-46.9977452
itapeva,-23.9849105,-48.8803886
itupeva,-23.1531055,-47.0580347
registro,-24.497942,-47.844895
bebedouro,-20.949077,-48.479083
jaboticabal,-21.252037,-48.325223
cosmopolis,-22.6437398,-47.1972086
boituva,-23.2838893,-47.6738231
matao,-21.6033611,-48.3660603
fernandopolis,-20.2825647,-50.2500762
leme,-22.1859721,-47.389764
bertioga,-23.848568,-46.139586
artur nogueira,-22.572737,-47.172679
pedreira,-22.741347,-46.894846
andradina,-20.896505,-51.3742765
sao jose do rio pardo,-21.595288,-46.887303
campo limpo paulista,-23.207791,-46.788919
vargem grande paulista,-23.599338,-47.022038
ilhabela,-23.816628,-45.368685
mongagua,-24.0959454,-46.6234361
lencois paulista,-22.6029897,-48.8031367
penapolis,-21.4192406,-50.0765588
tiete,-23.1030302,-47.7147937
guaira,-24.0851924,-54.2567519
monte mor,-22.945043,-47.312182
sao joaquim da barra,-20.5814993,-47.8608238
louveira,-23.08639,-46.95056
nova odessa,-22.783186,-47.294059
adamantina,-21.6866517,-51.0762975
olimpia,-20.736634,-48.910625
tremembe,-22.95714,-45.547526
itarare,-24.1145368,-49.3352464
mococa,-21.464731,-47.002405
dracena,-21.4835523,-51.5334408
santa cruz do rio pardo,-22.9060715,-49.6277378
cerquilho,-23.1626556,-47.7433878
orlandia,-20.720278,-47.886667
taquaritinga,-21.407486,-48.5054848
porto ferreira,-21.8529134,-47.4794943
ibiuna,-23.6548363,-47.2210116
monte alto,-21.265545,-48.497066
capivari,-22.9999295,-47.5031066
santa fe do sul,-20.2106188,-50.9270837
ituverava,-20.3366604,-47.7797924
jales,-20.2671767,-50.5492435
garca,-22.2125766,-49.6547994
santa isabel,-23.3194222,-46.2271903
presidente venceslau,-21.877116,-51.8451047
itapolis,-21.5958368,-48.8122696
presidente epitacio,-21.765074,-52.11114
capao bonito,-24.0048759,-48.3489848
barra bonita,-22.490859,-48.558349
tambau,-21.70292,-47.270344
promissao,-21.5404913,-49.8574709
bom jesus dos perdoes,-23.1353864,-46.4648052
batatais,-20.892867,-47.592149
mirassol,-20.8141411,-49.507449
cravinhos,-21.340278,-47.729444
mairinque,-23.5401247,-47.1846323
holambra,-22.6332028,-47.0545305
ilha solteira,-20.4281001,-51.3410871
rio grande da serra,-23.743724,-46.397084
campos do jordao,-22.7395263,-45.5912829
piraju,-23.1897822,-49.3840493
cachoeira paulista,-22.666498,-45.015384
aguas de lindoia,-22.4718855,-46.6291034
piracaia,-23.052545,-46.359374
aparecida,-22.851552,-45.2340924
porto feliz,-23.2125392,-47.5240065
monte azul paulista,-20.90649,-48.638717
juquitiba,-23.932346,-47.0714217
piedade,-23.7074096,-47.4252319
viradouro,-20.8726051,-48.2968122
pompeia,-22.1088293,-50.1720753
rancharia,-22.2294981,-50.8922333
ibitinga,-21.75623,-48.831903
sao manuel,-22.732081,-48.572316
pederneiras,-22.351086,-48.778113
bonfim paulista,-21.2938149,-47.84549637272727
santa rita do passa quatro,-21.7103738,-47.4777943
socorro,-22.5902619,-46.5249112
brotas,-22.2840884,-48.1267265
nova granada,-20.5345426,-49.3186951
santo anastacio,-21.974662,-51.652662
cordeiropolis,-22.4768324,-47.4550551
guararapes,-21.2542739,-50.6440083
barrinha,-21.1898849,-48.1550642
cerqueira cesar,-23.0353135,-49.1650519
jarinu,-23.0949649,-46.7148565
conchal,-22.337512,-47.172927
osvaldo cruz,-21.7962773,-50.879119
paraguacu paulista,-22.4203497,-50.5792099
laranjal paulista,-23.0509082,-47.837276
santa gertrudes,-22.4590897,-47.532034
morro agudo,-20.7276692,-48.052795
palmital,-22.786384,-50.2198965
pitangueiras,-21.013203,-48.220951
americo brasiliense,-21.7297099,-48.1052092
ipero,-23.3508977,-47.687611
pereira barreto,-20.6378509,-51.1052172
bariri,-22.0746355,-48.7394852
iracemapolis,-22.5869091,-47.5160966
santo antonio de posse,-22.6054087,-46.9210727
novo horizonte,-21.4674564,-49.2235377
aguai,-22.0592036,-46.979384
pirapora do bom jesus,-23.3972146,-47.0025661
junqueiropolis,-21.5109531,-51.4351505
santa rosa de viterbo,-21.4869452,-47.3654908
espirito santo do pinhal,-22.190871,-46.74767
candido mota,-22.7434964,-50.38924
macatuba,-22.50022,-48.710229
itajobi,-21.312294,-49.0596336
agudos,-22.4719836,-48.9884476
taquarituba,-23.5337307,-49.2452541
bastos,-21.9222474,-50.7317727
serra negra,-22.61222,-46.70056
pirajui,-21.9957877,-49.4549675
itaporanga,-23.7066252,-49.4895934
cunha,-23.07753,-44.9567436
castilho,-20.8695636,-51.4877792
santa adelia,-21.2432992,-48.8061481
pinhalzinho,-22.7824349,-46.5901718
embu,-23.6495294,-46.8528497
pariquera-acu,-24.7146891,-47.8802361
cajati,-24.7272376,-48.1077914
mirandopolis,-21.1328313,-51.1029422
iguape,-24.7042692,-47.5563733
pirapozinho,-22.2738742,-51.4998867
pontal,-21.0239714,-48.0393457
monte aprazivel,-20.7625702,-49.7088402
jose bonifacio,-27.6350709,-52.2738654
pilar do sul,-23.8121684,-47.7201865
brodowski,-20.984532,-47.657217
jardinopolis,-21.0255126,-47.7706807
sao lourenco da serra,-23.8535923,-46.9440587
salto de pirapora,-23.6492626,-47.5729991
miguelopolis,-20.179612,-48.030997
guariba,-21.35938,-48.23158
quata,-22.2470977,-50.7003624
serrana,-21.2066883,-47.6053774
descalvado,-21.9090404,-47.6203241
vargem grande do sul,-21.832194,-46.891286
teodoro sampaio,-22.5300202,-52.1686847
ibate,-21.9554092,-47.9989614
aluminio,-23.5203479,-47.2575256
sao pedro,-22.5512765,-47.9072359
ouroeste,-20.0013584,-50.3736414
regente feijo,-22.218131,-51.30545
paranapanema,-23.390161,-48.720868
sao miguel arcanjo,-23.8807771,-47.9963492
casa branca,-21.7743137,-47.0852175
vera cruz,-22.2212638,-49.8243021
engenheiro coelho,-22.4896659,-47.2119005
ipua,-20.4441839,-48.012504
tabapua,-20.9648397,-49.0332398
cesario lange,-23.226035,-47.954453
itai,-23.4172598,-49.0935788
tapiratiba,-21.46824,-46.7493221
charqueada,-22.50958,-47.775468
chavantes,-23.0406405,-49.7071698
dois corregos,-22.3697554,-48.3845315
tanabi,-20.6251635,-49.6519879
lucelia,-21.7211293,-51.0188
buritama,-21.0664017,-50.1448077
duartina,-22.414562,-49.408355
guaicara,-21.6213012,-49.7962941
fartura,-23.390039,-49.5109023
sao simao,-21.4800208,-47.5531095
auriflama,-20.6840418,-50.5554616
biritiba-mirim,-23.5697765,-46.0407456
aguas da prata,-21.9464285,-46.7192121
salesopolis,-23.528805,-45.84653
pradopolis,-21.3597815,-48.0746603
rio das pedras,-22.8441256,-47.6065667
paraibuna,-23.3864203,-45.6626797
tupi paulista,-21.3861179,-51.5763259
aracoiaba da serra,-23.5045367,-47.6168158
urupes,-21.2027026,-49.2921996
taguai,-23.4534312,-49.4054454
juquia,-24.3172209,-47.6355618
potirendaba,-21.0457369,-49.3767154
boa esperanca do sul,-21.9930206,-48.3917372
pedro de toledo,-24.2769071,-47.23393
conchas,-23.0133538,-48.0077595
bilac,-21.403962,-50.47464
maracai,-22.6112679,-50.6670685
caconde,-21.5281123,-46.6434015
martinopolis,-22.146153,-51.170949
guara,-20.4290496,-47.8250067
guararema,-23.4133724,-46.0379249
icem,-20.3413103,-49.1970982
buri,-23.79849,-48.598924
piquete,-22.6138451,-45.1777096
taruma,-22.7474736,-50.5783374
dourado,-22.1124638,-48.3151079
lindoia,-22.523056,-46.65
aracariguama,-23.438611,-47.061389
santa cruz das palmeiras,-21.823475,-47.248023
jacare,-22.8931174,-43.2571998
